ens_ID	hgnc_symbol
ENSG00000207194	RNU6-1026P
ENSG00000252825	RNU6-1253P
ENSG00000236624	CCDC163P
ENSG00000230585	PHBP12
ENSG00000237130	MRPS6P2
ENSG00000265538	MIR4421
ENSG00000213478	CFL1P2
ENSG00000222069	RN7SKP285
ENSG00000236085	ACTG1P4
ENSG00000179412	HNRNPCP5
ENSG00000159214	CCDC24
ENSG00000243452	NBPF15
ENSG00000227408	AMYP1
ENSG00000164008	C1orf50
ENSG00000206595	RNU6-877P
ENSG00000207511	RNU6-771P
ENSG00000252032	RNU6-1281P
ENSG00000143847	PPFIA4
ENSG00000131236	CAP1
ENSG00000227742	CALR4P
ENSG00000228347	FTLP17
ENSG00000211581	MIR765
ENSG00000266160	RN7SL612P
ENSG00000224520	KRT8P45
ENSG00000235700	CYCSP52
ENSG00000227850	SEPT2P1
ENSG00000221643	SNORA77
ENSG00000236973	GAPDHP51
ENSG00000236430	KRT8P29
ENSG00000228336	OR9H1P
ENSG00000222952	RNA5SP41
ENSG00000232846	SLC25A6P3
ENSG00000232908	HSD17B7P1
ENSG00000230576	OR6R1P
ENSG00000132763	MMACHC
ENSG00000252151	RNU6-1265P
ENSG00000232917	HSPE1P6
ENSG00000212076	MIR761
ENSG00000237379	CBX1P3
ENSG00000230604	TSEN15P2
ENSG00000232366	VDAC1P9
ENSG00000224830	OR2X1P
ENSG00000235829	TBCAP2
ENSG00000237492	OR2L9P
ENSG00000227425	MRPS21P2
ENSG00000224227	OR2L1P
ENSG00000200839	RNA5SP48
ENSG00000176754	LINC00303
ENSG00000232215	OR2L6P
ENSG00000175147	TMEM51-AS1
ENSG00000264613	RN7SL290P
ENSG00000197067	OR2T32P
ENSG00000228369	TXNDC12-AS1
ENSG00000241745	RN7SL788P
ENSG00000177233	OR2M1P
ENSG00000226520	KIRREL-IT1
ENSG00000230489	VAV3-AS1
ENSG00000271934	OR2AS2P
ENSG00000224255	PDCL3P6
ENSG00000227295	ELL2P1
ENSG00000227102	OR2AS1P
ENSG00000237663	DNAJC19P7
ENSG00000241361	SLC25A24P1
ENSG00000230942	HMGN1P5
ENSG00000235084	CHCHD2P6
ENSG00000117450	PRDX1
ENSG00000203758	OR10T1P
ENSG00000236257	EI24P2
ENSG00000252417	RNU7-179P
ENSG00000242529	AHCYP8
ENSG00000213735	ANAPC10P1
ENSG00000200408	RNA5SP74
ENSG00000224680	PLA2G12AP1
ENSG00000252928	RNU6-64P
ENSG00000250878	METTL21EP
ENSG00000215049	PRDX2P1
ENSG00000236463	LINC00427
ENSG00000230474	ATP6V1G1P7
ENSG00000225823	RPL7P45
ENSG00000232307	DAOA-AS1
ENSG00000238121	LINC00426
ENSG00000226620	LINC00343
ENSG00000225039	LINC01058
ENSG00000236444	UBE2L5P
ENSG00000222682	RNA5SP38
ENSG00000213411	RBM22P2
ENSG00000233532	LINC00460
ENSG00000232489	MFAP1P1
ENSG00000174418	RPL35P9
ENSG00000224117	PTPN2P2
ENSG00000272274	LINC00551
ENSG00000230156	LINC00443
ENSG00000237879	LINC00398
ENSG00000227590	ATP5G1P5
ENSG00000174408	PPIAP24
ENSG00000224743	TEX26-AS1
ENSG00000221650	MIR1267
ENSG00000227248	FAM155A-IT1
ENSG00000223177	RNA5SP39
ENSG00000232087	HCFC2P1
ENSG00000229938	MYO16-AS2
ENSG00000236094	LINC00545
ENSG00000236242	MYO16-AS1
ENSG00000223617	LINC00370
ENSG00000230403	LINC01066
ENSG00000236053	LINC01067
ENSG00000265841	MIR548X
ENSG00000231894	WDR95P
ENSG00000229792	LINC00399
ENSG00000234854	LINC00676
ENSG00000198618	PPIAP22
ENSG00000229427	ANKRD26P4
ENSG00000201161	RN7SKP10
ENSG00000231428	LINC00396
ENSG00000229715	EEF1DP3
ENSG00000265885	RN7SL783P
ENSG00000224821	COL4A2-AS2
ENSG00000235822	LINC01073
ENSG00000237637	FRY-AS1
ENSG00000232814	COL4A2-AS1
ENSG00000226818	SLC6A6P1
ENSG00000215515	IFIT1P1
ENSG00000225239	RPL21P107
ENSG00000212609	RNU1-139P
ENSG00000259831	LINC00567
ENSG00000230198	RPL37P4
ENSG00000229152	ANKRD10-IT1
ENSG00000229800	ATP8A2P2
ENSG00000227105	PARP1P1
ENSG00000215353	C1QBPP
ENSG00000225760	LINC00431
ENSG00000225870	LINC00368
ENSG00000251851	RNU6-772P
ENSG00000252963	RN7SKP147
ENSG00000235875	ARHGEF7-AS2
ENSG00000207325	RNY1P4
ENSG00000233676	FDPSP6
ENSG00000226968	LINC00423
ENSG00000233644	ARHGEF7-IT1
ENSG00000234439	KRT18P2
ENSG00000227352	ARHGEF7-AS1
ENSG00000227604	TOMM22P3
ENSG00000233206	RPS3AP1
ENSG00000230300	STARD13-IT1
