ens_ID	transcript_ID	transcript_biotype
ENSG00000207157	ENST00000384428	misc_RNA
ENSG00000252952	ENST00000517143	snRNA
ENSG00000252365	ENST00000516556	snoRNA
ENSG00000242037	ENST00000470538	misc_RNA
ENSG00000252335	ENST00000516526	snRNA
ENSG00000238463	ENST00000459449	snoRNA
ENSG00000223298	ENST00000411366	misc_RNA
ENSG00000200211	ENST00000363341	misc_RNA
ENSG00000251901	ENST00000516092	snoRNA
ENSG00000242614	ENST00000482613	misc_RNA
ENSG00000222472	ENST00000410540	misc_RNA
ENSG00000207474	ENST00000384743	misc_RNA
ENSG00000252154	ENST00000516345	snoRNA
ENSG00000238522	ENST00000459402	snoRNA
ENSG00000238407	ENST00000459616	snoRNA
ENSG00000222969	ENST00000411037	misc_RNA
ENSG00000243366	ENST00000476209	misc_RNA
ENSG00000265546	ENST00000577303	misc_RNA
ENSG00000199767	ENST00000362897	snRNA
ENSG00000207298	ENST00000384568	snRNA
ENSG00000242381	ENST00000482473	misc_RNA
ENSG00000223158	ENST00000411226	misc_RNA
ENSG00000201793	ENST00000364923	misc_RNA
ENSG00000212197	ENST00000390895	misc_RNA
ENSG00000201245	ENST00000364375	snoRNA
ENSG00000238305	ENST00000459208	snoRNA
ENSG00000207500	ENST00000384769	snoRNA
ENSG00000207051	ENST00000384323	snoRNA
ENSG00000252247	ENST00000516438	snRNA
ENSG00000201242	ENST00000364372	misc_RNA
ENSG00000252499	ENST00000516690	snRNA
ENSG00000207330	ENST00000384600	snRNA
ENSG00000242360	ENST00000487762	misc_RNA
ENSG00000200840	ENST00000363970	snRNA
ENSG00000202237	ENST00000365367	snRNA
ENSG00000201155	ENST00000364285	snRNA
ENSG00000201690	ENST00000364820	misc_RNA
ENSG00000238869	ENST00000459526	snoRNA
ENSG00000222301	ENST00000410369	misc_RNA
ENSG00000252928	ENST00000517119	snRNA
ENSG00000252550	ENST00000516741	snoRNA
ENSG00000201847	ENST00000364977	snoRNA
ENSG00000201161	ENST00000364291	misc_RNA
ENSG00000265885	ENST00000577950	misc_RNA
ENSG00000238629	ENST00000459093	snoRNA
ENSG00000212609	ENST00000391307	snRNA
ENSG00000212293	ENST00000390991	snoRNA
ENSG00000251851	ENST00000516042	snRNA
ENSG00000252963	ENST00000517154	misc_RNA
ENSG00000207325	ENST00000384595	misc_RNA
ENSG00000200072	ENST00000363202	snoRNA
ENSG00000202347	ENST00000365477	snRNA
ENSG00000265259	ENST00000580757	misc_RNA
ENSG00000199636	ENST00000362766	misc_RNA
ENSG00000252397	ENST00000516588	snRNA
ENSG00000199196	ENST00000362326	snoRNA
ENSG00000215405	ENST00000427390	protein_coding
ENSG00000202339	ENST00000365469	snRNA
ENSG00000268343	ENST00000595502	protein_coding
ENSG00000207203	ENST00000384474	snRNA
ENSG00000202395	ENST00000365525	misc_RNA
ENSG00000230031	ENST00000454856	protein_coding
ENSG00000263796	ENST00000581405	misc_RNA
ENSG00000223078	ENST00000411146	snRNA
ENSG00000252795	ENST00000516986	snRNA
ENSG00000238408	ENST00000459206	snoRNA
ENSG00000200526	ENST00000363656	misc_RNA
ENSG00000138593	ENST00000561428	protein_coding
ENSG00000212553	ENST00000391251	snoRNA
ENSG00000207458	ENST00000384727	misc_RNA
ENSG00000268531	ENST00000594169	protein_coding
ENSG00000252812	ENST00000517003	misc_RNA
ENSG00000138593	ENST00000559471	protein_coding
ENSG00000138593	ENST00000261847	protein_coding
ENSG00000233917	ENST00000439682	protein_coding
ENSG00000233917	ENST00000439682	protein_coding
ENSG00000138593	ENST00000380927	protein_coding
ENSG00000199698	ENST00000362828	misc_RNA
ENSG00000244264	ENST00000491551	misc_RNA
ENSG00000238651	ENST00000458837	snoRNA
ENSG00000138593	ENST00000559424	protein_coding
ENSG00000223280	ENST00000411348	snRNA
ENSG00000241406	ENST00000463999	misc_RNA
ENSG00000206962	ENST00000384235	snRNA
ENSG00000166157	ENST00000298232	protein_coding
ENSG00000166157	ENST00000361285	protein_coding
ENSG00000166157	ENST00000342420	protein_coding
ENSG00000242216	ENST00000486780	misc_RNA
ENSG00000166157	ENST00000328758	protein_coding
ENSG00000256715	ENST00000540061	protein_coding
ENSG00000252921	ENST00000517112	snoRNA
ENSG00000207160	ENST00000384431	snRNA
ENSG00000166351	ENST00000299443	protein_coding
ENSG00000269011	ENST00000596508	protein_coding
ENSG00000168675	ENST00000587905	protein_coding
ENSG00000265369	ENST00000391065	snoRNA
ENSG00000168675	ENST00000399848	protein_coding
ENSG00000168675	ENST00000359446	protein_coding
ENSG00000168675	ENST00000586222	protein_coding
ENSG00000238932	ENST00000459558	snoRNA
ENSG00000168675	ENST00000593236	protein_coding
ENSG00000265802	ENST00000581392	misc_RNA
ENSG00000223341	ENST00000411409	misc_RNA
ENSG00000188992	ENST00000344577	protein_coding
ENSG00000271818	ENST00000606815	misc_RNA
ENSG00000188992	ENST00000400211	protein_coding
ENSG00000252055	ENST00000516246	snRNA
ENSG00000168675	ENST00000587757	protein_coding
ENSG00000188992	ENST00000536861	protein_coding
ENSG00000168675	ENST00000585931	protein_coding
ENSG00000253051	ENST00000517242	snoRNA
ENSG00000199477	ENST00000362607	snoRNA
ENSG00000168675	ENST00000586765	protein_coding
ENSG00000168675	ENST00000592991	protein_coding
ENSG00000168675	ENST00000361205	protein_coding
ENSG00000182974	ENST00000332663	protein_coding
ENSG00000183706	ENST00000328795	protein_coding
ENSG00000185272	ENST00000400577	protein_coding
ENSG00000269182	ENST00000599120	protein_coding
ENSG00000155304	ENST00000285667	protein_coding
ENSG00000155304	ENST00000544452	protein_coding
ENSG00000197414	ENST00000560659	protein_coding
ENSG00000197414	ENST00000316397	protein_coding
ENSG00000197414	ENST00000316397	protein_coding
ENSG00000232512	ENST00000410635	misc_RNA
ENSG00000240767	ENST00000490496	misc_RNA
ENSG00000238483	ENST00000459016	snoRNA
ENSG00000252854	ENST00000517045	misc_RNA
ENSG00000223336	ENST00000411404	snRNA
ENSG00000252385	ENST00000516576	snRNA
ENSG00000155307	ENST00000400564	protein_coding
ENSG00000155307	ENST00000400566	protein_coding
ENSG00000155307	ENST00000400566	protein_coding
ENSG00000155307	ENST00000285670	protein_coding
ENSG00000243440	ENST00000435732	protein_coding
ENSG00000243440	ENST00000400562	protein_coding
ENSG00000244521	ENST00000496982	misc_RNA
ENSG00000166200	ENST00000388901	protein_coding
ENSG00000166200	ENST00000388901	protein_coding
ENSG00000166200	ENST00000299259	protein_coding
ENSG00000166200	ENST00000542928	protein_coding
ENSG00000166200	ENST00000558843	protein_coding
ENSG00000166200	ENST00000561248	protein_coding
ENSG00000180530	ENST00000400199	protein_coding
ENSG00000180530	ENST00000400202	protein_coding
ENSG00000180530	ENST00000411932	protein_coding
ENSG00000180530	ENST00000318948	protein_coding
ENSG00000201662	ENST00000364792	snRNA
ENSG00000199788	ENST00000362918	misc_RNA
ENSG00000222148	ENST00000410216	misc_RNA
ENSG00000251719	ENST00000515910	snRNA
ENSG00000200064	ENST00000363194	misc_RNA
ENSG00000259458	ENST00000558940	protein_coding
ENSG00000259458	ENST00000560347	protein_coding
ENSG00000153575	ENST00000283645	protein_coding
ENSG00000153575	ENST00000453949	protein_coding
ENSG00000153575	ENST00000558664	protein_coding
ENSG00000137824	ENST00000260385	protein_coding
ENSG00000153575	ENST00000561214	protein_coding
ENSG00000251702	ENST00000515893	snRNA
ENSG00000238376	ENST00000459603	snoRNA
ENSG00000137824	ENST00000338376	protein_coding
ENSG00000137824	ENST00000558232	protein_coding
ENSG00000137824	ENST00000560460	protein_coding
ENSG00000238314	ENST00000459023	snoRNA
ENSG00000137824	ENST00000560905	protein_coding
ENSG00000207019	ENST00000384292	snRNA
ENSG00000207240	ENST00000384511	misc_RNA
ENSG00000252379	ENST00000516570	snRNA
ENSG00000200472	ENST00000363602	misc_RNA
ENSG00000137880	ENST00000260447	protein_coding
ENSG00000137880	ENST00000561160	protein_coding
ENSG00000137880	ENST00000559445	protein_coding
ENSG00000251972	ENST00000516163	snRNA
ENSG00000137880	ENST00000559932	protein_coding
ENSG00000137880	ENST00000558467	protein_coding
ENSG00000222320	ENST00000410388	snRNA
ENSG00000206802	ENST00000384075	snRNA
