Gene stable ID	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000223972	pseudogene	1	11869	14412
ENSG00000227232	pseudogene	1	14363	29806
ENSG00000243485	lincRNA	1	29554	31109
ENSG00000237613	lincRNA	1	34554	36081
ENSG00000268020	pseudogene	1	52473	54936
ENSG00000240361	pseudogene	1	62948	63887
ENSG00000186092	protein_coding	1	69091	70008
ENSG00000238009	lincRNA	1	89295	133566
ENSG00000239945	lincRNA	1	89551	91105
ENSG00000233750	pseudogene	1	131025	134836
ENSG00000237683	protein_coding	1	134901	139379
ENSG00000268903	pseudogene	1	135141	135895
ENSG00000269981	pseudogene	1	137682	137965
ENSG00000239906	antisense	1	139790	140339
ENSG00000241860	processed_transcript	1	141474	173862
ENSG00000222623	snRNA	1	157784	157887
ENSG00000241599	lincRNA	1	160446	161525
ENSG00000228463	lincRNA	1	227615	267253
ENSG00000241670	pseudogene	1	228292	228775
ENSG00000237094	lincRNA	1	317720	453948
ENSG00000250575	pseudogene	1	326096	328112
ENSG00000233653	pseudogene	1	329431	332236
ENSG00000224813	pseudogene	1	334126	334305
ENSG00000235249	protein_coding	1	367640	368634
ENSG00000269732	pseudogene	1	379105	379467
ENSG00000256186	pseudogene	1	450820	450910
ENSG00000236601	lincRNA	1	453633	460480
ENSG00000236743	lincRNA	1	459656	461954
ENSG00000236679	pseudogene	1	470971	471355
ENSG00000231709	lincRNA	1	521369	523833
ENSG00000235146	lincRNA	1	523009	530148
ENSG00000239664	lincRNA	1	529833	532878
ENSG00000230021	lincRNA	1	536816	659930
ENSG00000223659	lincRNA	1	562757	564390
ENSG00000225972	pseudogene	1	564442	564813
ENSG00000225630	pseudogene	1	565020	566063
ENSG00000237973	pseudogene	1	566454	567996
ENSG00000229344	pseudogene	1	568137	568818
ENSG00000240409	pseudogene	1	568915	569121
ENSG00000248527	pseudogene	1	569076	569756
ENSG00000198744	pseudogene	1	569756	570302
ENSG00000268663	pseudogene	1	610222	610645
ENSG00000185097	protein_coding	1	621059	622053
ENSG00000229376	pseudogene	1	657472	660283
ENSG00000224956	pseudogene	1	661611	663527
ENSG00000235373	lincRNA	1	677193	685396
ENSG00000223181	snRNA	1	693613	693716
ENSG00000240618	lincRNA	1	694412	700305
ENSG00000229905	antisense	1	696291	697369
ENSG00000228327	lincRNA	1	700237	714006
ENSG00000237491	lincRNA	1	714150	745440
ENSG00000230092	pseudogene	1	736259	745541
ENSG00000269831	protein_coding	1	738532	739137
ENSG00000240453	processed_transcript	1	745489	753092
ENSG00000177757	lincRNA	1	752751	755214
ENSG00000225880	lincRNA	1	761586	762902
ENSG00000228794	processed_transcript	1	762988	794826
ENSG00000230368	lincRNA	1	803451	812283
ENSG00000234711	pseudogene	1	808672	809729
ENSG00000269308	protein_coding	1	818043	819983
ENSG00000272438	lincRNA	1	840214	851356
ENSG00000230699	lincRNA	1	846815	850328
ENSG00000241180	lincRNA	1	849551	850351
ENSG00000223764	lincRNA	1	852245	856396
ENSG00000187634	protein_coding	1	860260	879955
ENSG00000268179	protein_coding	1	861264	866445
ENSG00000188976	protein_coding	1	879584	894689
ENSG00000187961	protein_coding	1	895967	901095
ENSG00000187583	protein_coding	1	901877	911245
ENSG00000187642	protein_coding	1	910579	917497
ENSG00000272512	lincRNA	1	931346	933431
ENSG00000188290	protein_coding	1	934342	935552
ENSG00000231702	pseudogene	1	943456	943609
ENSG00000224969	antisense	1	947377	948573
ENSG00000187608	protein_coding	1	948803	949920
ENSG00000188157	protein_coding	1	955503	991496
ENSG00000242590	sense_intronic	1	990413	991496
ENSG00000217801	pseudogene	1	995114	1004735
ENSG00000273443	lincRNA	1	997588	998668
ENSG00000237330	protein_coding	1	1006346	1009687
ENSG00000131591	protein_coding	1	1017198	1051741
ENSG00000223823	lincRNA	1	1072397	1079436
ENSG00000207730	miRNA	1	1102484	1102578
ENSG00000207607	miRNA	1	1103243	1103332
ENSG00000198976	miRNA	1	1104385	1104467
ENSG00000272141	lincRNA	1	1104737	1105723
ENSG00000205231	antisense	1	1108436	1114935
ENSG00000162571	protein_coding	1	1109264	1133315
ENSG00000186891	protein_coding	1	1138888	1142071
ENSG00000186827	protein_coding	1	1146706	1149518
ENSG00000078808	protein_coding	1	1152288	1167411
ENSG00000176022	protein_coding	1	1167629	1170421
ENSG00000184163	protein_coding	1	1177826	1182102
ENSG00000260179	lincRNA	1	1185157	1186714
ENSG00000160087	protein_coding	1	1189289	1209265
ENSG00000230415	lincRNA	1	1210603	1215800
ENSG00000162572	protein_coding	1	1215816	1227409
ENSG00000131584	protein_coding	1	1227756	1244989
ENSG00000169972	protein_coding	1	1243947	1247057
ENSG00000127054	protein_coding	1	1246965	1260071
ENSG00000240731	sense_intronic	1	1252961	1254069
ENSG00000224051	protein_coding	1	1260136	1264277
ENSG00000169962	protein_coding	1	1266694	1270686
ENSG00000107404	protein_coding	1	1270656	1284730
ENSG00000162576	protein_coding	1	1288069	1297157
ENSG00000175756	protein_coding	1	1309110	1310875
ENSG00000223663	pseudogene	1	1314046	1314412
ENSG00000221978	protein_coding	1	1321091	1334708
ENSG00000224870	protein_coding	1	1334902	1337426
ENSG00000242485	protein_coding	1	1337288	1342693
ENSG00000264293	misc_RNA	1	1340841	1341132
ENSG00000272455	lincRNA	1	1344476	1345998
ENSG00000235098	protein_coding	1	1353800	1357149
ENSG00000225905	antisense	1	1355625	1358071
ENSG00000205116	protein_coding	1	1361508	1363167
ENSG00000225285	lincRNA	1	1365919	1369953
ENSG00000179403	protein_coding	1	1370241	1378262
ENSG00000215915	protein_coding	1	1385069	1405538
ENSG00000160072	protein_coding	1	1407143	1433228
ENSG00000197785	protein_coding	1	1447531	1470067
ENSG00000205090	protein_coding	1	1470554	1475833
ENSG00000160075	protein_coding	1	1477053	1510249
ENSG00000215791	pseudogene	1	1497726	1499904
ENSG00000215014	protein_coding	1	1510355	1511373
ENSG00000236684	pseudogene	1	1515136	1515379
ENSG00000228594	protein_coding	1	1533392	1535476
ENSG00000272106	antisense	1	1549138	1551175
ENSG00000197530	protein_coding	1	1550795	1565990
ENSG00000189409	protein_coding	1	1567474	1570639
ENSG00000248333	protein_coding	1	1570603	1590473
ENSG00000272004	antisense	1	1590786	1594063
ENSG00000189339	protein_coding	1	1592939	1624167
ENSG00000269737	antisense	1	1603429	1604850
ENSG00000269227	pseudogene	1	1604714	1605836
ENSG00000215914	pseudogene	1	1631369	1633249
ENSG00000008128	protein_coding	1	1634169	1655766
ENSG00000268575	processed_transcript	1	1634175	1669127
ENSG00000227775	pseudogene	1	1655951	1668690
ENSG00000215790	protein_coding	1	1656277	1677431
ENSG00000008130	protein_coding	1	1682671	1711896
ENSG00000078369	protein_coding	1	1716729	1822495
ENSG00000231050	antisense	1	1822910	1824097
ENSG00000169885	protein_coding	1	1846266	1848735
ENSG00000178821	protein_coding	1	1849029	1850712
ENSG00000142609	protein_coding	1	1853396	1935276
ENSG00000233542	antisense	1	1944652	1946969
ENSG00000187730	protein_coding	1	1950780	1962192
ENSG00000226969	antisense	1	1980642	1981509
ENSG00000067606	protein_coding	1	1981909	2116834
ENSG00000271806	antisense	1	2072523	2076718
ENSG00000182873	antisense	1	2113233	2115828
ENSG00000162585	protein_coding	1	2115903	2144159
ENSG00000269554	protein_coding	1	2121237	2123179
ENSG00000203301	protein_coding	1	2143360	2145620
ENSG00000243558	lincRNA	1	2143610	2144013
ENSG00000234396	lincRNA	1	2143962	2152177
ENSG00000157933	protein_coding	1	2160134	2241558
ENSG00000116151	protein_coding	1	2252692	2323146
ENSG00000272161	sense_intronic	1	2257640	2258132
ENSG00000269753	protein_coding	1	2258581	2259042
ENSG00000269896	processed_transcript	1	2281853	2284259
ENSG00000238240	pseudogene	1	2283083	2283296
ENSG00000272420	sense_intronic	1	2294500	2295067
ENSG00000271921	sense_intronic	1	2306292	2306792
ENSG00000271847	sense_intronic	1	2309056	2309799
ENSG00000178642	pseudogene	1	2316811	2319922
ENSG00000157916	protein_coding	1	2323267	2336883
ENSG00000157911	protein_coding	1	2336236	2345236
ENSG00000149527	protein_coding	1	2357419	2436969
ENSG00000224387	antisense	1	2423739	2424697
ENSG00000229393	antisense	1	2424876	2425918
ENSG00000157881	protein_coding	1	2439972	2458039
ENSG00000197921	protein_coding	1	2460184	2461684
ENSG00000272449	lincRNA	1	2477904	2478899
ENSG00000238164	processed_transcript	1	2481359	2488470
ENSG00000157873	protein_coding	1	2487078	2496821
ENSG00000225931	antisense	1	2497849	2501327
ENSG00000228037	antisense	1	2512999	2515972
ENSG00000157870	protein_coding	1	2517930	2522908
ENSG00000142606	protein_coding	1	2522078	2564481
ENSG00000237058	antisense	1	2564007	2568059
ENSG00000215912	protein_coding	1	2567415	2718286
ENSG00000233234	lincRNA	1	2728415	2729257
ENSG00000231630	lincRNA	1	2730997	2731563
ENSG00000169717	protein_coding	1	2938046	2939465
ENSG00000177133	antisense	1	2976179	2985001
ENSG00000256761	pseudogene	1	2978523	2978959
ENSG00000142611	protein_coding	1	2985732	3355185
ENSG00000226286	antisense	1	3049491	3050273
ENSG00000272235	lincRNA	1	3223200	3226660
ENSG00000130762	protein_coding	1	3370990	3397677
ENSG00000272088	lincRNA	1	3403810	3404191
ENSG00000162591	protein_coding	1	3406484	3528059
ENSG00000207776	miRNA	1	3477259	3477354
ENSG00000238260	antisense	1	3539754	3541307
ENSG00000158109	protein_coding	1	3541566	3546691
ENSG00000116213	protein_coding	1	3547331	3569325
ENSG00000078900	protein_coding	1	3569084	3652765
ENSG00000227589	antisense	1	3575502	3585336
ENSG00000235131	antisense	1	3628764	3630862
ENSG00000224459	antisense	1	16066546	16076391
ENSG00000272371	lincRNA	1	53020490	53020945
ENSG00000252731	miRNA	1	204622230	204622314
ENSG00000198703	pseudogene	1	158461009	158461950
ENSG00000228153	lincRNA	1	204633000	204633741
ENSG00000264500	miRNA	1	249120576	249120642
ENSG00000236290	pseudogene	1	53038786	53039488
ENSG00000224321	pseudogene	1	16119291	16119780
ENSG00000177868	protein_coding	1	43272723	43282954
ENSG00000252650	rRNA	1	204676448	204676558
ENSG00000227237	antisense	1	249153363	249158995
ENSG00000233664	pseudogene	1	53174794	53175114
ENSG00000251861	snoRNA	1	204697119	204697234
ENSG00000233954	pseudogene	1	16133679	16134194
ENSG00000252946	snoRNA	1	204873875	204873946
ENSG00000227445	pseudogene	1	158484575	158485715
ENSG00000200495	snRNA	1	249206889	249206994
ENSG00000239640	misc_RNA	1	53180071	53180365
ENSG00000229657	pseudogene	1	204915736	204916297
ENSG00000233084	pseudogene	1	249230780	249231242
ENSG00000252018	snRNA	1	53219994	53220134
ENSG00000228929	pseudogene	1	53237866	53238320
ENSG00000178715	pseudogene	1	16154724	16155167
ENSG00000243967	processed_transcript	1	108918460	108953436
ENSG00000251696	miRNA	1	205031380	205031470
ENSG00000231434	pseudogene	1	158493462	158495628
ENSG00000206627	snRNA	1	53270780	53270884
ENSG00000271580	pseudogene	1	205060291	205061074
ENSG00000242391	antisense	1	53346888	53347402
ENSG00000236108	pseudogene	1	205103774	205104078
ENSG00000179743	antisense	1	16160560	16174642
ENSG00000230953	pseudogene	1	53386094	53386268
ENSG00000213041	pseudogene	1	205171319	205171870
ENSG00000238818	snoRNA	1	16237392	16237492
ENSG00000231237	pseudogene	1	158664329	158665299
ENSG00000270620	pseudogene	1	16244193	16244403
ENSG00000225063	antisense	1	205202949	205205995
ENSG00000231866	pseudogene	1	53390921	53391095
ENSG00000235363	pseudogene	1	205320375	205320599
ENSG00000264834	miRNA	1	53394346	53394444
ENSG00000266188	miRNA	1	53400602	53400689
ENSG00000180437	pseudogene	1	158693903	158694902
ENSG00000226235	antisense	1	205342380	205356568
ENSG00000234607	pseudogene	1	16296127	16296689
ENSG00000265815	miRNA	1	53405986	53406085
ENSG00000238118	pseudogene	1	108926358	108963917
ENSG00000237279	pseudogene	1	53409208	53409602
ENSG00000199059	miRNA	1	205417430	205417526
ENSG00000226949	pseudogene	1	158711936	158713205
ENSG00000224717	lincRNA	1	205425057	205438152
