ens_ID	chr	start	end
ENSG00000236624	1	45959538	45965751
ENSG00000159214	1	44457031	44462200
ENSG00000243452	1	148555979	148596267
ENSG00000164008	1	43232940	43263968
ENSG00000143847	1	202995626	203047868
ENSG00000131236	1	40505905	40538321
ENSG00000132763	1	45965725	45976739
ENSG00000117450	1	45976708	45988719
ENSG00000215405	15	20737094	20747114
ENSG00000268343	15	21004687	21005367
ENSG00000230031	15	21040701	21071643
ENSG00000164011	1	43312280	43318148
ENSG00000133055	1	203136939	203144941
ENSG00000203817	1	149438750	149459549
ENSG00000198161	1	149553003	149553787
ENSG00000203815	1	149675978	149676609
ENSG00000150337	1	149754227	149764074
ENSG00000133048	1	203148059	203155877
ENSG00000117394	1	43391052	43424530
ENSG00000203814	1	149754245	149783928
ENSG00000183598	1	149784826	149785236
ENSG00000131238	1	40538379	40563375
ENSG00000183941	1	149804221	149811339
ENSG00000133063	1	203181955	203242769
ENSG00000203811	1	149811110	149812765
ENSG00000183558	1	149813505	149814478
ENSG00000090686	1	22004791	22110099
ENSG00000203812	1	149822643	149823191
ENSG00000186973	1	43610824	43622067
ENSG00000203852	1	149824181	149825836
ENSG00000171872	1	44584522	44600812
ENSG00000182217	1	149825607	149832714
ENSG00000117395	1	43629846	43736607
ENSG00000184678	1	149856010	149858232
ENSG00000159388	1	203274619	203278730
ENSG00000132780	1	46049518	46084566
ENSG00000184260	1	149858525	149858961
ENSG00000178028	1	44679127	44686353
ENSG00000184270	1	149859019	149859466
ENSG00000122176	1	203309756	203320617
ENSG00000140577	15	91073157	91188577
ENSG00000166140	15	41099284	41106767
ENSG00000101138	20	54967427	54979518
ENSG00000154645	21	19273580	19639690
ENSG00000180305	20	44258165	44259835
ENSG00000068793	15	22892005	23006016
ENSG00000180083	20	44277202	44298909
ENSG00000182931	20	44313292	44333658
ENSG00000154646	21	19641433	19858197
ENSG00000168634	20	44330655	44337456
ENSG00000149651	20	44350990	44354469
ENSG00000101365	20	2639041	2644865
ENSG00000167216	18	44497455	44627658
ENSG00000124116	20	44376583	44420571
ENSG00000087589	20	54987168	55034396
ENSG00000154654	21	22370633	22915650
ENSG00000166143	15	41107650	41120907
ENSG00000166262	15	49619159	49913128
ENSG00000176136	18	13824154	13826861
ENSG00000185231	18	13882043	13915706
ENSG00000103642	15	63413999	63434260
ENSG00000197299	15	91260558	91358859
ENSG00000154719	21	26957968	26979829
ENSG00000175322	18	14057456	14132489
ENSG00000101160	20	57570240	57582302
ENSG00000022277	20	55043647	55093943
ENSG00000166145	15	41136216	41150405
ENSG00000088881	20	2673524	2740753
ENSG00000101162	20	57594309	57601709
ENSG00000140285	15	49715293	49780972
ENSG00000183206	18	14507338	14543584
ENSG00000101457	20	44420576	44440066
ENSG00000266996	18	44542731	44544607
ENSG00000154721	21	27011584	27089874
ENSG00000124172	20	57600522	57607437
ENSG00000234298	18	44548658	44550534
ENSG00000185088	15	63418071	63450220
ENSG00000183791	18	44554573	44556449
ENSG00000206181	18	44558943	44561988
ENSG00000170122	9	116237	118417
ENSG00000166128	15	63481668	63559981
ENSG00000175063	20	44441215	44445596
ENSG00000124091	20	55066548	55100981
ENSG00000101166	20	57608200	57617964
ENSG00000167220	18	44633774	44676891
ENSG00000154723	21	27088815	27107984
ENSG00000171448	9	125677845	125693779
ENSG00000124103	20	55092243	55101198
ENSG00000104047	15	49913177	49937333
ENSG00000088882	20	2774715	2781283
ENSG00000213714	20	55108302	55111576
ENSG00000104140	15	41164412	41166487
ENSG00000140564	15	91411822	91426688
ENSG00000140157	15	23004684	23034427
ENSG00000267228	18	44661027	44702652
ENSG00000154727	21	27106881	27144771
ENSG00000087510	20	55204358	55214339
ENSG00000124203	20	57766075	57834168
ENSG00000101470	20	44451853	44462384
ENSG00000104142	15	41186628	41196173
ENSG00000138613	15	63568217	63601325
ENSG00000011454	9	125703112	125867145
ENSG00000134049	18	44681413	44702745
ENSG00000124205	20	57875482	57901047
ENSG00000128917	15	41221538	41231237
ENSG00000198326	20	2795614	2800930
ENSG00000241690	20	2795614	2798712
ENSG00000180777	18	14728271	14852737
ENSG00000101144	20	55743804	55841685
ENSG00000215474	18	44746293	44775554
ENSG00000258713	20	2795633	2796479
ENSG00000188394	9	125796806	125797975
ENSG00000172785	9	121041	188979
ENSG00000014914	1	149900543	149908791
ENSG00000143842	1	204042243	204096863
ENSG00000159592	1	46092976	46153785
ENSG00000143845	1	204100190	204121307
ENSG00000117400	1	43803478	43818443
ENSG00000187147	1	44870866	45117396
ENSG00000159596	1	46152886	46160115
ENSG00000197429	1	46159996	46216322
ENSG00000084070	1	40810522	40888998
ENSG00000117399	1	43824626	43828874
ENSG00000143839	1	204123944	204135465
ENSG00000086015	1	46252659	46501796
ENSG00000170498	1	204159469	204165614
ENSG00000174567	1	204167288	204183220
ENSG00000163113	1	149909705	149982625
ENSG00000143850	1	204187979	204346793
ENSG00000066322	1	43829068	43833696
ENSG00000158615	1	204372515	204380919
ENSG00000187801	1	40915774	40929390
ENSG00000133056	1	204391756	204463852
ENSG00000187815	1	40942887	40962015
ENSG00000159479	1	43849588	43855479
ENSG00000164002	1	40974413	40982228
ENSG00000117461	1	46505812	46642160
ENSG00000126106	1	45100910	45140227
ENSG00000219073	1	22303514	22325135
ENSG00000136631	1	150039369	150117505
ENSG00000117010	1	40997233	41013841
ENSG00000142789	1	22328149	22339032
ENSG00000117472	1	46640745	46651630
ENSG00000198198	1	43855553	43918321
ENSG00000198520	1	45140364	45191263
ENSG00000070831	1	22379120	22419437
ENSG00000198625	1	204485511	204542871
ENSG00000117016	1	41086351	41131329
ENSG00000085998	1	46654354	46685977
ENSG00000170382	1	204586298	204654861
ENSG00000066136	1	41157320	41237275
ENSG00000162552	1	22443798	22470462
ENSG00000184677	1	22778344	22857650
ENSG00000142945	1	45205490	45233439
ENSG00000023902	1	150121373	150136916
ENSG00000070886	1	22890057	22930087
ENSG00000171357	1	46669006	46686933
ENSG00000085999	1	46713360	46744145
ENSG00000132128	1	46726868	46769280
ENSG00000143401	1	150190717	150208504
ENSG00000173372	1	22962999	22966101
ENSG00000159189	1	22970123	22974603
ENSG00000178922	1	43916824	43919660
ENSG00000173369	1	22979255	22988031
ENSG00000163531	1	204797779	204991950
ENSG00000173660	1	46769303	46782448
ENSG00000133216	1	23037332	23241818
ENSG00000117481	1	46805849	46830824
ENSG00000142937	1	45240923	45244451
ENSG00000117013	1	41249684	41306124
ENSG00000117480	1	46859937	46879520
ENSG00000118298	1	150229554	150237478
ENSG00000142959	1	45249257	45253377
ENSG00000197587	1	46972668	46979898
ENSG00000173846	1	45265897	45271662
ENSG00000162456	1	47011316	47017199
ENSG00000142949	1	43990858	44089343
ENSG00000179862	1	41326729	41328018
ENSG00000215906	1	23279536	23291831
ENSG00000227868	1	23337327	23342343
ENSG00000171793	1	41445007	41478235
ENSG00000117362	1	150237804	150241980
ENSG00000004487	1	23345941	23410182
ENSG00000079277	1	47023090	47082515
ENSG00000188396	1	45271585	45272957
ENSG00000222009	1	45274154	45281257
ENSG00000184144	1	205012325	205047627
ENSG00000117425	1	45285516	45308735
ENSG00000171790	1	41481269	41488909
ENSG00000142961	1	47073387	47082563
ENSG00000174529	1	205052258	205053645
ENSG00000117222	1	205055270	205091143
ENSG00000123472	1	47098409	47139539
ENSG00000010803	1	41492872	41707826
ENSG00000118292	1	150240600	150253327
ENSG00000070785	1	45316450	45452282
ENSG00000066135	1	44115829	44171186
ENSG00000133059	1	205111632	205180727
ENSG00000159658	1	47124366	47184824
ENSG00000186118	1	47134527	47139266
ENSG00000204060	1	41827594	41849262
ENSG00000133069	1	205197304	205242471
ENSG00000127129	1	41944446	41950344
ENSG00000142973	1	47223510	47285085
ENSG00000159208	1	150254953	150259505
ENSG00000163545	1	205271187	205290883
ENSG00000169641	1	23410516	23504301
ENSG00000127124	1	41972036	42501596
ENSG00000179546	1	23516993	23521222
ENSG00000162873	1	205305220	205326218
ENSG00000187145	1	150266289	150281414
ENSG00000166797	15	64364758	64386217
ENSG00000099958	22	24176690	24181315
ENSG00000168263	9	2717502	2730037
ENSG00000215472	18	47008051	47017956
ENSG00000125901	20	3026591	3028900
ENSG00000101405	20	3052266	3053163
ENSG00000149657	20	60697517	60710434
ENSG00000170236	15	50792759	50838905
ENSG00000101200	20	3063202	3065370
ENSG00000136933	9	127962821	127996437
ENSG00000147535	8	38120648	38126761
ENSG00000080608	9	2720469	2844241
ENSG00000032742	13	21140585	21265503
ENSG00000044574	9	127997132	128003609
ENSG00000156265	21	30449792	30548210
ENSG00000214265	15	25200181	25245423
ENSG00000124225	20	56223448	56286592
ENSG00000175806	8	9911778	10286401
ENSG00000172458	13	21276266	21297237
ENSG00000028528	15	64386322	64438289
ENSG00000133460	22	24198890	24228496
ENSG00000092439	15	50844670	50979012
ENSG00000169762	4	16162128	16229033
ENSG00000150456	13	21302870	21348097
ENSG00000265681	18	47014851	47018906
ENSG00000101182	20	60711791	60718496
ENSG00000114062	15	25582381	25684128
ENSG00000176731	8	86126311	86132650
ENSG00000156273	21	30566392	31003071
ENSG00000124237	20	56725960	56736206
ENSG00000080298	9	3218297	3526004
ENSG00000100979	20	44527399	44540794
ENSG00000137825	15	41785591	41795747
ENSG00000124227	20	56793551	56803709
ENSG00000132953	13	21351469	21477187
ENSG00000263588	18	19668021	19678741
ENSG00000185019	20	3088219	3140842
ENSG00000203286	9	3452305	3469181
ENSG00000123908	8	141541264	141645718
ENSG00000251357	22	24204375	24237410
ENSG00000187954	8	145674965	145691060
ENSG00000240972	22	24236191	24237414
ENSG00000141448	18	19749404	19782491
ENSG00000215251	20	3127165	3140543
ENSG00000218537	22	24236613	24241117
ENSG00000124224	20	56806188	56884495
ENSG00000062524	15	41795836	41806085
ENSG00000133433	22	24299601	24303373
ENSG00000088899	20	3143263	3154192
ENSG00000212710	18	19993564	19997878
ENSG00000107249	9	3824127	4348392
ENSG00000150457	13	21547171	21635686
ENSG00000099974	22	24309089	24314721
ENSG00000184647	8	10383056	10411676
ENSG00000198171	20	3170996	3185331
ENSG00000099977	22	24313554	24322660
ENSG00000184402	20	60718822	60757540
ENSG00000150459	13	21714653	21723221
ENSG00000145321	4	72607410	72669758
ENSG00000183638	8	10463859	10569697
ENSG00000099984	22	24322339	24326106
ENSG00000171060	8	10530147	10558103
ENSG00000171189	21	30909254	31312351
ENSG00000125877	20	3189514	3204516
ENSG00000165219	9	128024073	128129486
ENSG00000101670	18	47087069	47119272
ENSG00000165480	13	21727734	21750741
ENSG00000171056	8	10581278	10697357
ENSG00000106688	9	4490444	4587469
ENSG00000172007	4	140374386	140397763
ENSG00000184674	22	24376133	24384680
ENSG00000258724	8	10582909	10697357
ENSG00000101773	18	20378224	20606451
ENSG00000138600	15	50999506	51058005
ENSG00000184508	15	91474148	91475799
ENSG00000124209	20	56884752	56942563
ENSG00000147548	8	38127215	38239790
ENSG00000157734	15	64443914	64449680
ENSG00000183653	21	30968360	31003067
ENSG00000185015	8	86132816	86196302
ENSG00000156282	21	31538241	31538971
ENSG00000173141	13	21750784	21753223
ENSG00000254093	8	10622473	10697394
ENSG00000156284	21	31586324	31588391
ENSG00000188694	21	31653629	31655276
ENSG00000167702	8	145691426	145699585
ENSG00000232263	21	31661463	31661832
ENSG00000166965	15	91498100	91506349
ENSG00000197683	21	31691452	31692607
ENSG00000166794	15	64448011	64455404
ENSG00000206107	21	31709331	31710012
ENSG00000186980	21	31720717	31720924
ENSG00000182816	21	31743709	31744557
ENSG00000145391	4	140417095	140527853
ENSG00000198390	21	31768392	31769136
